1-1,Unknown,UNEXPLORED
1-2,Unknown,UNEXPLORED
1-3,Unknown,UNEXPLORED
1-4,Unknown,UNEXPLORED
1-5,Unknown,UNEXPLORED
1-6,Unknown,UNEXPLORED
1-7,Unknown,UNEXPLORED
1-8,Unknown,UNEXPLORED
1-9,Unknown,UNEXPLORED
1-10,Unknown,UNEXPLORED
1-11,Unknown,UNEXPLORED
1-12,Unknown,UNEXPLORED
1-13,Unknown,UNEXPLORED
1-14,Unknown,UNEXPLORED
1-15,Unknown,UNEXPLORED
1-16,Trasijkis,DISPUTED
1-17,Unknown,UNEXPLORED
1-18,Unknown,UNEXPLORED
1-19,Unknown,UNEXPLORED
1-20,Unknown,UNEXPLORED
1-21,Unknown,UNEXPLORED
1-22,Unknown,UNEXPLORED
1-23,Unknown,UNEXPLORED
1-24,Unknown,UNEXPLORED
2-1,Unknown,UNEXPLORED
2-2,Unknown,UNEXPLORED
2-3,Unknown,UNEXPLORED
2-4,Unknown,UNEXPLORED
2-5,Unknown,UNEXPLORED
2-6,Unknown,UNEXPLORED
2-7,Unknown,UNEXPLORED
2-8,Unknown,UNEXPLORED
2-9,Timbuktu,STEINER
2-10,Unknown,UNEXPLORED
2-11,Enders Cluster,STEINER
2-12,Unknown,UNEXPLORED
2-13,Son Hoa,DISPUTED
2-14,Diedre Den,CIRCINUS
2-15,Zoms Keep,CIRCINUS
2-16,Trondhemal,ILLYRIAN
2-17,Illyria,ILLYRIAN
2-18,Unknown,UNEXPLORED
2-19,Unknown,UNEXPLORED
2-20,Unknown,UNEXPLORED
2-21,Unknown,UNEXPLORED
2-22,Unknown,UNEXPLORED
2-23,Unknown,UNEXPLORED
2-24,Unknown,UNEXPLORED
3-1,Unknown,UNEXPLORED
3-2,Unknown,UNEXPLORED
3-3,Unknown,UNEXPLORED
3-4,Unknown,UNEXPLORED
3-5,Unknown,UNEXPLORED
3-6,Unknown,UNEXPLORED
3-7,Langhome,STEINER
3-8,Pocologan,STEINER
3-9,Stanley,STEINER
3-10,Florida,STEINER
3-11,Ayacucho,STEINER
3-12,Ilzra,STEINER
3-13,Andiron,CIRCINUS
3-14,Baltazar II,CIRCINUS
3-15,Unknown,UNEXPLORED
3-16,San Nicolas,MARIK
3-17,Unknown,UNEXPLORED
3-18,Lothard,LOTHARIO
3-19,Logan Prime,LOTHARIO
3-20,Unknown,UNEXPLORED
3-21,Unknown,UNEXPLORED
3-22,Unknown,UNEXPLORED
3-23,Unknown,UNEXPLORED
3-24,Unknown,UNEXPLORED
4-1,Unknown,UNEXPLORED
4-2,Unknown,UNEXPLORED
4-3,Unknown,UNEXPLORED
4-4,Unknown,UNEXPLORED
4-5,Canal,STEINER
4-6,Moriguchi,STEINER
4-7,Qnatir,STEINER
4-8,Virtue,STEINER
4-9,Vermezzo,STEINER
4-10,Mercedes,STEINER
4-11,Premana,STEINER
4-12,Inchicore,STEINER
4-13,Rajkot,STEINER
4-14,Circinus,CIRCINUS
4-15,Gibraltar,MARIK
4-16,Atzenbrugg,MARIK
4-17,Kendall,MARIK
4-18,Lordinax,LOTHARIO
4-19,Lindassa,LOTHARIO
4-20,Paulinus,LOTHARIO
4-21,Unknown,UNEXPLORED
4-22,Unknown,UNEXPLORED
4-23,Unknown,UNEXPLORED
4-24,Unknown,UNEXPLORED
5-1,Unknown,UNEXPLORED
5-2,Unknown,UNEXPLORED
5-3,Unknown,UNEXPLORED
5-4,Neerabup,STEINER
5-5,Milerton,STEINER
5-6,Kharthoum,STEINER
5-7,Loxley,STEINER
5-8,Quilino,STEINER
5-9,Alarion,STEINER
5-10,Carlisle,STEINER
5-11,Acrux,STEINER
5-12,Maisons,STEINER
5-13,Timbiqui,STEINER
5-14,Kilarney,MARIK
5-15,Conakry,MARIK
5-16,Westover,MARIK
5-17,Goth Khakar,MARIK
5-18,Lesnovo,MARIK
5-19,Unknown,UNEXPLORED
5-20,Adhara,MARIAN
5-21,New Venice,MARIAN
5-22,Unknown,UNEXPLORED
5-23,Unknown,UNEXPLORED
5-24,Unknown,UNEXPLORED
6-1,Unknown,UNEXPLORED
6-2,Unknown,UNEXPLORED
6-3,Unknown,UNEXPLORED
6-4,Kownloon,STEINER
6-5,Arluna,STEINER
6-6,Windsor,STEINER
6-7,Guatavita,STEINER
6-8,Richwale,STEINER
6-9,Noisiel,STEINER
6-10,York,STEINER
6-11,Rosice,STEINER
6-12,Bolan,STEINER
6-13,Unknown,UNEXPLORED
6-14,Tamarind,MARIK
6-15,Kakada,MARIK
6-16,Home,MARIK
6-17,Mackenzie,MARIK
6-18,Tematagi,MARIK
6-19,Gatchina,MARIK
6-20,Alphard,MARIAN
